,"from","to","Pharma R&D  Annual Review 2017"
763,"Cancer",604493,
764,"Cancer",802870,
765,"Cancer",606051,
766,"Cancer",609902,
767,"Cancer",602101,
768,"Cancer",602167,
769,"Cancer",800760,
770,"Cancer",607398,
771,"Cancer",610292,
772,"Cancer",802825,
773,"Cancer",602325,
774,"Cancer",605117,
775,"Cancer",801917,
776,"Cancer",608937,
777,"Cancer",800250,
778,"Cancer",800518,
779,"Cancer",608020,
780,"Cancer",609627,
781,"Cancer",608114,
782,"Cancer",605154,
783,"Cancer",804753,
784,"Cancer",803654,
785,"Cancer",600843,
786,"Cancer",611307,
787,"Cancer",804342,
788,"Cancer",804955,
789,"Cancer",602583,
790,"Cancer",601977,
791,"Cancer",611077,
792,"Cancer",804384,
793,"Cancer",601397,
794,"Cancer",607575,
795,"Cancer",603657,
796,"Cancer",601599,
797,"Cancer",602968,
798,"Cancer",600632,
799,"Cancer",603163,
800,"Cancer",605108,
801,"Cancer",603207,
802,"Cancer",804471,
803,"Cancer",804524,
804,"Cancer",609254,
805,"Cancer",804626,
806,"Cancer",609716,
807,"Cancer",604138,
808,"Cancer",604521,
809,"Cancer",602600,
810,"Cancer",803994,
811,"Cancer",603841,
812,"Cancer",609824,
813,"Cancer",601006,
814,"Cancer",610573,
815,"Cancer",610619,
816,"Cancer",600510,
817,"Cancer",604590,
818,"Cancer",804390,
819,"Cancer",600095,
820,"Cancer",800224,
821,"Cancer",601746,
822,"Cancer",612015,
823,"Cancer",802267,
824,"Cancer",602106,
825,"Cancer",803968,
826,"Cancer",601232,
827,"Cancer",608728,
828,"Cancer",604835,
829,"Cancer",606267,
830,"Cancer",602522,
831,"Cancer",604409,
832,"Cancer",609186,
833,"Cancer",601190,
834,"Cancer",608964,
835,"Cancer",611261,
836,"Cancer",611141,
837,"Cancer",802893,
838,"Cancer",606254,
839,"Cancer",601658,
840,"Cancer",608336,
841,"Cancer",611153,
842,"Cancer",605292,
843,"Cancer",611942,
844,"Cancer",802941,
845,"Cancer",600113,
846,"Cancer",601126,
847,"Cancer",608418,
848,"Cancer",602125,
849,"Cancer",605072,
850,"Cancer",601196,
851,"Cancer",606445,
852,"Cancer",606938,
853,"Cancer",604041,
854,"Cancer",802599,
855,"Cancer",606074,
856,"Cancer",600899,
857,"Cancer",605408,
858,"Cancer",602872,
859,"Cancer",601183,
860,"Cancer",606039,
861,"Cancer",803923,
862,"Cancer",600732,
863,"Cancer",803585,
864,"Cancer",801697,
865,"Cancer",602761,
866,"Cancer",610261,
867,"Cancer",603056,
868,"Cancer",605307,
