,"from","to","Pharma R&D  Annual Review 2017"
12053,"Breasttumor",610198,1
12054,"Breasttumor",802584,1
12055,"Breasttumor",802322,1
12056,"Breasttumor",605130,1
12057,"Breasttumor",800250,1
12058,"Breasttumor",800518,1
12059,"Breasttumor",607364,1
12060,"Breasttumor",607982,1
12061,"Breasttumor",610679,1
12062,"Breasttumor",611653,1
12063,"Breasttumor",610696,1
12064,"Breasttumor",606305,1
12065,"Breasttumor",601244,1
12066,"Breasttumor",609522,1
12067,"Breasttumor",804713,1
12068,"Breasttumor",610317,1
12069,"Breasttumor",605016,1
12070,"Breasttumor",605652,1
12071,"Breasttumor",604326,1
12072,"Breasttumor",609862,1
12073,"Breasttumor",607546,1
12074,"Breasttumor",805067,1
12075,"Breasttumor",611551,1
12076,"Breasttumor",601512,1
12077,"Breasttumor",605411,1
12078,"Breasttumor",604751,1
12079,"Breasttumor",605867,1
12080,"Breasttumor",608604,1
12081,"Breasttumor",610555,1
12082,"Breasttumor",601397,1
12083,"Breasttumor",607220,1
12084,"Breasttumor",609032,1
12085,"Breasttumor",611433,1
12086,"Breasttumor",611654,1
12087,"Breasttumor",600632,1
12088,"Breasttumor",801037,1
12089,"Breasttumor",604891,1
12090,"Breasttumor",611567,1
12091,"Breasttumor",611615,1
12092,"Breasttumor",608041,1
12093,"Breasttumor",805907,1
12094,"Breasttumor",609121,1
12095,"Breasttumor",610619,1
12096,"Breasttumor",601569,1
12097,"Breasttumor",611531,1
12098,"Breasttumor",602462,1
12099,"Breasttumor",800661,1
12100,"Breasttumor",607772,1
12101,"Breasttumor",600549,1
12102,"Breasttumor",601006,1
12103,"Breasttumor",802569,1
12104,"Breasttumor",610942,1
12105,"Breasttumor",802712,1
12106,"Breasttumor",600468,1
12107,"Breasttumor",603783,1
12108,"Breasttumor",602213,1
12109,"Breasttumor",802267,1
12110,"Breasttumor",605061,1
12111,"Breasttumor",606864,1
12112,"Breasttumor",804246,1
12113,"Breasttumor",611544,1
12114,"Breasttumor",611639,1
12115,"Breasttumor",604450,1
12116,"Breasttumor",606500,1
12117,"Breasttumor",606267,1
12118,"Breasttumor",801286,1
12119,"Breasttumor",602790,1
12120,"Breasttumor",610609,1
12121,"Breasttumor",800693,1
12122,"Breasttumor",605574,1
12123,"Breasttumor",608358,1
12124,"Breasttumor",802749,1
12125,"Breasttumor",607984,1
12126,"Breasttumor",605436,1
12127,"Breasttumor",607986,1
12128,"Breasttumor",609770,1
12129,"Breasttumor",609572,1
12130,"Breasttumor",803362,1
12131,"Breasttumor",608294,1
12132,"Breasttumor",608961,1
12133,"Breasttumor",804806,1
12134,"Breasttumor",801838,1
12135,"Breasttumor",604266,1
12136,"Breasttumor",610886,1
12137,"Breasttumor",608234,1
12138,"Breasttumor",611097,1
12139,"Breasttumor",602125,1
12140,"Breasttumor",603222,1
12141,"Breasttumor",606461,1
12142,"Breasttumor",612122,1
12143,"Breasttumor",601108,1
12144,"Breasttumor",604041,1
12145,"Breasttumor",802599,1
